price,details,descr,link
$ 269.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106542
$ 895.000.000,16 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192109681
$ 1.150.000.000,6 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192106634
$ 3.600.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192105297
$ 146.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192105505
$ 276.890.667,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192105923
$ 1.247.000.000,117 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108266
$ 3.849.999.870,2 Baños,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192107937
$ 455.000.000,42 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108297
$ 470.000.000,44 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108306
$ 540.000.000,99 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108324
$ 310.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108325
$ 730.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108365
$ 980.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192108389
$ 208.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108341
$ 585.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108428
$ 400.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108203
$ 380.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108209
$ 419.000.000,41 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108210
$ 930.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108014
$ 1.190.000.000,2 Baños,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108335
$ 1.050.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192108361
$ 239.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108359
$ 300.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108426
$ 35.000.000.000,17 m²,Lote en Venta,https://www.fincaraiz.com.co/lote-en-venta/192107966
$ 6.500.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192107319
$ 260.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106371
$ 470.000.000,44 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108306
$ 3.849.999.870,2 Baños,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192107937
